合肥 13050732.25,3717865.48;13050732.25,3717865.48 12 127
安庆 13032328.73,3552346.35;13032328.73,3552346.35 13 130
蚌埠 13068586.76,3861451.88;13068586.76,3861451.88 13 126
亳州 12889352.87,3984760.83;12889352.87,3984760.83 13 188
巢湖 13122538.95,3689458.85;13122538.95,3689458.85 13 251
池州 13079941.95,3568096.76;13079941.95,3568096.76 14 299
滁州 13171827.47,3780782.68;13171827.47,3780782.68 13 189
阜阳 12893318.37,3858071.13;12893318.37,3858071.13 13 128
淮北 13002801.01,3999428.16;13002801.01,3999428.16 13 253
淮南 13025211.08,3823284.47;13025211.08,3823284.47 13 250
黄山 13174259.20,3446405.95;13174259.20,3446405.95 13 252
六安 12972162.58,3706704.58;12972162.58,3706704.58 13 298
马鞍山 13192915.97,3698254.43;13192915.97,3698254.43 13 358
宿州 13021233.10,3958276.93;13021233.10,3958276.93 13 370
铜陵 13115670.97,3604196.83;13115670.97,3604196.83 14 337
芜湖 13184775.09,3656993.85;13184775.09,3656993.85 12 129
宣城 13221024.95,3603638.53;13221024.95,3603638.53 13 190
福州 13280886.83,2990092.74;13280886.83,2990092.74 12 300
龙岩 13027156.91,2867451.75;13027156.91,2867451.75 13 193
南平 13156359.21,3060182.27;13156359.21,3060182.27 13 133
宁德 13308913.30,3063166.32;13308913.30,3063166.32 14 192
莆田 13248747.88,2913812.39;13248747.88,2913812.39 13 195
泉州 13211798.77,2842902.63;13211798.77,2842902.63 12 134
三明 13096406.59,3013437.65;13096406.59,3013437.65 14 254
厦门 13146520.15,2794850.59;13146520.15,2794850.59 12 194
漳州 13097306.62,2798910.77;13097306.62,2798910.77 12 255
兰州 11559618.74,4284497.52;11559618.74,4284497.52 12 36
白银 11593403.48,4350997.26;11593403.48,4350997.26 13 35
定西 11647670.12,4218892.85;11647670.12,4218892.85 13 136
甘南州 11456860.01,4137659.06;11456860.01,4137659.06 14 247
嘉峪关 10942437.00,4806177.73;10942437.00,4806177.73 13 33
金昌 11376329.71,4627105.84;11376329.71,4627105.84 13 34
酒泉 10965136.67,4800458.77;10965136.67,4800458.77 13 37
临夏州 11490222.65,4221635.05;11490222.65,4221635.05 13 182
陇南 11680684.61,3925685.58;11680684.61,3925685.58 14 256
平凉 11874773.11,4213703.64;11874773.11,4213703.64 13 359
庆阳 11983596.18,4236451.14;11983596.18,4236451.14 13 135
天水 11770079.92,4083438.67;11770079.92,4083438.67 13 196
武威 11426460.46,4543604.39;11426460.46,4543604.39 13 118
张掖 11182857.02,4684860.48;11182857.02,4684860.48 13 117
广州 12609384.20,2631450.58;12609384.20,2631450.58 12 257
潮州 12983270.08,2695083.18;12983270.08,2695083.18 13 201
东莞 12663646.09,2618419.30;12663646.09,2618419.30 12 119
佛山 12593536.51,2618504.74;12593536.51,2618504.74 13 138
河源 12769274.62,2705589.22;12769274.62,2705589.22 12 200
惠州 12737687.42,2629176.06;12737687.42,2629176.06 12 301
江门 12589053.91,2565285.42;12589053.91,2565285.42 13 302
揭阳 12955416.43,2682139.69;12955416.43,2682139.69 13 259
茂名 12349002.86,2455917.94;12349002.86,2455917.94 13 139
梅州 12927581.68,2771574.07;12927581.68,2771574.07 13 141
清远 12586210.09,2698142.83;12586210.09,2698142.83 13 197
汕头 12989872.35,2658432.29;12989872.35,2658432.29 13 303
汕尾 12844371.04,2590100.98;12844371.04,2590100.98 14 339
韶关 12646449.94,2835086.87;12646449.94,2835086.87 13 137
深圳 12697919.69,2560977.31;12697919.69,2560977.31 12 340
阳江 12466699.79,2479199.48;12466699.79,2479199.48 14 199
云浮 12473600.95,2605695.21;12473600.95,2605695.21 13 258
湛江 12285964.33,2409313.63;12285964.33,2409313.63 13 198
肇庆 12520436.40,2621544.92;12520436.40,2621544.92 13 338
中山 12623658.84,2557831.51;12623658.84,2557831.51 12 187
珠海 12644165.50,2528398.94;12644165.50,2528398.94 13 140
南宁 12064197.51,2593908.90;12064197.51,2593908.90 12 261
百色 11869566.44,2724709.89;11869566.44,2724709.89 13 203
北海 12148051.24,2434246.89;12148051.24,2434246.89 13 295
崇左 11952656.17,2541377.42;11952656.17,2541377.42 14 144
防城港 12062837.96,2458822.38;12062837.96,2458822.38 15 204
桂林 12278277.31,2891750.50;12278277.31,2891750.50 12 142
贵港 12201211.44,2629479.32;12201211.44,2629479.32 13 341
河池 12032866.01,2820782.02;12032866.01,2820782.02 14 143
贺州 12420393.37,2785558.28;12420393.37,2785558.28 14 260
来宾 12159431.65,2706604.65;12159431.65,2706604.65 14 202
柳州 12180931.66,2776093.62;12180931.66,2776093.62 12 305
钦州 12096206.54,2493631.35;12096206.54,2493631.35 13 145
梧州 12388396.37,2673339.57;12388396.37,2673339.57 13 304
玉林 12266142.07,2574421.71;12266142.07,2574421.71 14 361
贵阳 11870885.18,3060812.20;11870885.18,3060812.20 12 146
安顺 11794720.25,3012230.30;11794720.25,3012230.30 13 263
毕节地区 11722124.70,3141552.67;11722124.70,3141552.67 14 206
六盘水 11670504.63,3054166.26;11670504.63,3054166.26 13 147
铜仁地区 12155793.34,3194445.93;12155793.34,3194445.93 14 205
